iter	Passed	Remaining
0	64	32154
1	66	16681
2	74	12367
3	77	9592
4	84	8375
5	92	7580
6	99	7001
7	102	6280
8	108	5899
9	114	5629
10	122	5463
11	128	5240
12	136	5111
13	143	4983
14	151	4903
15	158	4784
16	168	4775
17	175	4704
18	176	4460
19	182	4382
20	187	4267
21	192	4172
22	198	4124
23	205	4085
24	206	3924
25	213	3885
26	222	3892
27	228	3847
28	237	3860
29	240	3775
30	256	3877
31	265	3875
32	272	3854
33	280	3846
34	292	3879
35	295	3807
36	299	3752
37	306	3726
38	312	3691
39	319	3677
40	322	3615
41	328	3585
42	335	3561
43	341	3538
44	347	3516
45	354	3502
46	365	3523
47	372	3505
48	380	3504
49	388	3497
50	390	3442
51	401	3462
52	407	3438
53	416	3440
54	427	3456
55	437	3467
56	439	3416
57	447	3410
58	460	3442
59	470	3449
60	482	3474
61	492	3479
62	502	3489
63	512	3494
64	523	3500
65	533	3507
66	541	3502
67	552	3507
68	560	3500
69	569	3499
70	571	3455
71	575	3419
72	585	3423
73	594	3423
74	602	3414
75	611	3411
76	620	3407
77	626	3391
78	637	3398
79	652	3427
80	660	3415
81	666	3398
82	673	3385
83	681	3374
84	688	3362
85	690	3322
86	697	3311
87	702	3289
88	713	3294
89	722	3291
90	731	3288
91	741	3288
92	750	3283
93	757	3271
94	764	3258
95	772	3250
96	779	3239
97	788	3232
98	791	3206
99	801	3204
100	810	3200
101	816	3184
102	824	3179
103	835	3180
104	857	3227
105	879	3267
106	891	3274
107	896	3255
108	907	3255
109	915	3246
110	927	3249
111	933	3234
112	941	3222
113	949	3214
114	955	3199
115	963	3190
116	970	3176
117	980	3172
118	990	3169
119	997	3159
120	1001	3136
121	1009	3127
122	1019	3123
123	1028	3118
124	1039	3117
125	1049	3116
126	1078	3168
127	1093	3179
128	1103	3174
129	1112	3167
130	1121	3158
131	1129	3149
132	1137	3139
133	1145	3127
134	1152	3115
135	1159	3104
136	1167	3093
137	1174	3080
138	1182	3069
